tokens	ner_tags	langs	spans
"['Le' 'Journal' 'de' 'Montréal' ""''"" '...']"	[3 4 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Le Journal de Montréal']
['Myriam' 'Léonie' 'Mani' '22' 's' '54']	[1 2 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Myriam Léonie Mani']
['Luciano' 'Berio' '(' '1925-2003' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Luciano Berio']
['Dick' 'Van' 'Arsdale' '(' 'ex' 'æquo' ')']	[1 2 2 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Dick Van Arsdale']
['REDIRECTION' 'Paul-Émile' 'De' 'Puydt']	[0 1 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: Paul-Émile De Puydt']
"[""'"" ""''"" 'Sandrine' 'Hurel' ""''"" ""'*""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Sandrine Hurel']
['José' 'López' 'Rega']	[1 2 2]	['fr' 'fr' 'fr']	['PER: José López Rega']
['Beerbohm' ',' 'Max' '.']	[1 2 2 0]	['fr' 'fr' 'fr' 'fr']	['PER: Beerbohm , Max']
"['Roxy' 'Music' '-' 'For' 'Your' 'Pleasure' ""''"" '(' '1' ',' '13' ',' '18'
 ')']"	[3 4 0 3 4 4 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Roxy Music' 'ORG: For Your Pleasure']
['REDIRECTION' 'U.S.' 'Route' '101']	[0 3 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: U.S. Route 101']
"[""'"" ""''"" 'VfL' 'Gummersbach' ""''"" ""'""]"	[0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: VfL Gummersbach']
['Parc' 'des' 'Princes' ',' 'Paris']	[3 4 4 0 5]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Parc des Princes' 'LOC: Paris']
['Arena' 'Națională' ',' 'Bucarest' ',' 'Roumanie']	[3 4 0 5 0 5]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Arena Națională' 'LOC: Bucarest' 'LOC: Roumanie']
['Paul' 'Huet' '-' 'aquarelles']	[1 2 0 0]	['fr' 'fr' 'fr' 'fr']	['PER: Paul Huet']
"[""'"" ""''"" 'Hermann' 'Maier' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Hermann Maier']
"[""'"" ""''"" 'Martin' 'Hangl' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Martin Hangl']
['Sainte-Suzanne' '(' 'Mayenne' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Sainte-Suzanne ( Mayenne )']
['Abbaye' 'd’Ipolyság' '(' 'alld' '.']	[5 6 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Abbaye d’Ipolyság']
['REDIRECTION' 'Storyville' '(' 'La' 'Nouvelle-Orléans' ')']	[0 5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Storyville ( La Nouvelle-Orléans )']
['REDIRECTION' 'Alain' 'Robert' '(' 'escalade' ')']	[0 1 2 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Alain Robert ( escalade )']
['Francisco' 'Javier' 'Máximo' 'Aguirre' 'de' 'la' 'Hoz']	[1 2 2 2 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Francisco Javier Máximo Aguirre de la Hoz']
['==' 'Consulat' 'et' 'Premier' 'Empire' '==']	[0 3 0 3 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Consulat' 'ORG: Premier Empire']
"['REDIRECTION' 'Rainbow' 'Warriors' ""d'Hawaï""]"	[0 3 4 4]	['fr' 'fr' 'fr' 'fr']	"[""ORG: Rainbow Warriors d'Hawaï""]"
"['redirection' 'Liste' 'des' 'chapitres' 'de' 'Dragon' 'Quest' ':' 'La'
 'Quête' 'de' 'Daï']"	[0 3 4 4 4 4 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Liste des chapitres de Dragon Quest : La Quête de Daï']
['Club' 'de' 'Deportes' 'Cobreloa']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Club de Deportes Cobreloa']
['Singida' '(' 'région' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Singida ( région )']
['Liste' 'des' 'communes' 'de' 'la' 'Loire-Atlantique' ')' '.']	[5 6 6 6 6 6 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes de la Loire-Atlantique']
"['Liste' 'des' 'communes' ""d'Eure-et-Loir""]"	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	"[""LOC: Liste des communes d'Eure-et-Loir""]"
"[""'"" ""''"" 'Levy' 'Mwanawasa' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Levy Mwanawasa']
['La' 'soirée' 'est' 'animée' 'par' 'Ellen' 'DeGeneres' '.']	[0 0 0 0 0 1 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Ellen DeGeneres']
"['Cour' ""d'appel"" 'des' 'États-Unis' 'pour' 'le' 'troisième' 'circuit']"	[3 4 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Cour d'appel des États-Unis pour le troisième circuit""]"
"['Gallinule' 'de' 'Gough' '–' ""'"" ""''"" ""'""]"	[5 6 6 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Gallinule de Gough']
"['19-' 'La' 'Ville-aux-Dames' ""''"" '(' 'hab' '.']"	[0 5 6 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: La Ville-aux-Dames']
"['Maciej' 'Rybus' ""''"" '(' 'Legia' 'Varsovie' ')' ""''""]"	[1 2 0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Maciej Rybus' 'ORG: Legia Varsovie']
['Le' 'plus' 'ancien' 'mentionnait' 'sa' 'présence' 'en' 'Israël' '.']	[0 0 0 0 0 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Israël']
['REDIRECTION' 'Outlaw' 'Gentlemen' 'and' 'Shady' 'Ladies']	[0 3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Outlaw Gentlemen and Shady Ladies']
['Eddie' 'Campbell' '(' 'dessin' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Eddie Campbell']
"['Hey' 'Jude' ""''"" '(' 'The' 'Beatles' ')']"	[3 4 0 0 3 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Hey Jude' 'ORG: The Beatles']
['Fédération' 'de' 'Tanzanie' 'de' 'football']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Fédération de Tanzanie de football']
['Médailles' 'de' 'la' 'Geological' 'Society' 'of' 'London']	[3 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Médailles de la Geological Society of London']
['REDIRECTION' 'Office' 'des' 'Nations' 'unies' 'à' 'Nairobi']	[0 3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Office des Nations unies à Nairobi']
['Liste' 'des' 'communes' 'du' 'Gers']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes du Gers']
"['Privilège' 'de' 'secret' ""d'État""]"	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	"[""ORG: Privilège de secret d'État""]"
"['Christodule' 'Ier' ""d'Athènes""]"	[1 2 2]	['fr' 'fr' 'fr']	"[""PER: Christodule Ier d'Athènes""]"
['La' 'Brigade' 'de' 'sapeurs-pompiers' 'de' 'Paris' '(' 'BSPP' ')']	[0 3 4 4 4 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Brigade de sapeurs-pompiers de Paris']
"[""'"" ""''"" 'Police' 'nationale' 'congolaise' ""''"" ""'"" ',' 'en'
 'Congo-Kinshasa' ';']"	[0 0 3 4 4 0 0 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Police nationale congolaise' 'LOC: Congo-Kinshasa']
['Cyrille' 'Guimard' '(' 'FRA' ')']	[1 2 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Cyrille Guimard' 'LOC: FRA']
"[""'"" ""''"" 'Ligue' 'mondiale' ""''"" ""'"" ""'"" ""''"" '(' '1' ')' ""'"" ""''""]"	[3 4 4 4 4 3 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: ' '' Ligue mondiale ''"" ""ORG: '""]"
"[""'"" ""''"" 'Championnat' 'de' 'Pologne' 'de' 'football' ""''"" ""'""]"	[0 0 3 4 4 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Championnat de Pologne de football']
"[""'"" ""''"" '1' ""''"" ""'"" '20px' 'Joe' 'Inglett']"	[0 0 0 0 0 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Joe Inglett']
"['REDIRECTION' 'Jacques' 'II' '(' 'roi' ""d'Angleterre"" ')']"	[0 1 2 2 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""PER: Jacques II ( roi d'Angleterre )""]"
['Avec' 'Jeff' 'Berlin' 'et' 'Jack' 'Bruce']	[0 1 2 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Jeff Berlin' 'PER: Jack Bruce']
['==' 'Royaume' 'du' 'Népal' '(' '1857-2008' ')' '==']	[0 5 6 6 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Royaume du Népal']
"['Union' 'chrétienne-démocrate' ""d'Allemagne"" '(' 'CDU' ')']"	[3 4 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Union chrétienne-démocrate d'Allemagne""]"
['REDIRECTION' 'Liste' 'des' 'souverains' 'de' 'Grèce']	[0 1 2 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Liste des souverains de Grèce']
['Mahouana' '(' 'habitants' ')']	[5 0 0 0]	['fr' 'fr' 'fr' 'fr']	['LOC: Mahouana']
['Nunavut' '-' 'Île' 'Ellef' 'Ringnes']	[5 0 5 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Nunavut' 'LOC: Île Ellef Ringnes']
"[""'"" ""''"" 'Paul' 'Deschanel' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Paul Deschanel']
['Pierre' 'Mendès' 'France' '.']	[1 2 2 0]	['fr' 'fr' 'fr' 'fr']	['PER: Pierre Mendès France']
['Entre' 'gris' 'clair' 'et' 'gris' 'foncé']	[3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Entre gris clair et gris foncé']
['REDIRECTION' 'République' 'du' 'Bouregreg']	[0 5 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: République du Bouregreg']
"[""'"" ""''"" 'Sorède' ""'"" ""''""]"	[0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Sorède']
"['Les' 'déchets' 'y' 'sont' 'livrés' 'vers' 'le' 'continent' ',' 'pour'
 'être' 'enfouis' 'à' 'Lawrence' 'Station' '.']"	[0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr']"	['LOC: Lawrence Station']
['Monastère' 'de' 'Visoki' 'Dečani']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Monastère de Visoki Dečani']
['*Outstanding' 'Contribution' '-' 'Joy' 'Division']	[0 0 0 3 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Joy Division']
"[""'"" ""''"" 'Valenciennes' ""''"" ""'""]"	[0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Valenciennes']
"['Baucina' ',' 'Caccamo' ',' 'Campofelice' 'di' 'Fitalia' ',' 'Mezzojuso'
 ',' 'Ventimiglia' 'di' 'Sicilia' ',' 'Vicari' ',' 'Villafrati']"	[5 0 5 0 5 6 6 0 5 0 5 6 6 0 5 0 5]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr']"	"['LOC: Baucina' 'LOC: Caccamo' 'LOC: Campofelice di Fitalia'
 'LOC: Mezzojuso' 'LOC: Ventimiglia di Sicilia' 'LOC: Vicari'
 'LOC: Villafrati']"
"['Ben' '&' 'Jerry' ""'s""]"	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	"[""ORG: Ben & Jerry 's""]"
"['À' 'Groningue' 'aux' 'Pays-Bas' 'tout' ""d'abord"" ',' 'puis' 'en'
 'Belgique' 'à' 'Bilzen' '.']"	[0 5 0 5 0 0 0 0 0 5 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Groningue' 'LOC: Pays-Bas' 'LOC: Belgique' 'LOC: Bilzen']
['Comté' 'de' 'Jefferson' '(' 'Alabama' ')']	[5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Comté de Jefferson ( Alabama )']
['La' 'prochaine' 'halte' 'est' 'Espinosa' 'del' 'Camino' '.']	[0 0 0 0 5 6 6 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Espinosa del Camino']
['Musée' 'Munch' ',' 'Oslo' ',' 'Norvège']	[3 4 0 5 0 5]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Musée Munch' 'LOC: Oslo' 'LOC: Norvège']
"[""'"" ""''"" 'Max' 'Biaggi' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Max Biaggi']
['Kemba' 'Walker' '(' '29' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Kemba Walker']
['San' 'Román' 'de' 'la' 'Cuba']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: San Román de la Cuba']
['Départements' 'du' 'Burkina' 'Faso']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Départements du Burkina Faso']
"['The' 'Promise' 'of' 'a' 'New' 'Day' ""''""]"	[3 4 4 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: The Promise of a New Day']
['Vieux' 'carré' 'français' 'de' 'La' 'Nouvelle-Orléans']	[5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Vieux carré français de La Nouvelle-Orléans']
['Lovro' 'von' 'Matačić']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Lovro von Matačić']
"[',' 'à' 'Carmaux' '(' 'Tarn' ')' 'le' ',' 'obtenu' 'par' 'un' 'couple'
 'retraité' 'et' 'leur' 'enfant' '.']"	[0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr']"	['LOC: Carmaux' 'LOC: Tarn']
['Comté' 'de' 'Gilliam']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Comté de Gilliam']
['*PCC' '=' 'Parti' 'conservateur' 'du' 'Canada']	[0 0 3 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Parti conservateur du Canada']
['Base' 'navale' 'de' 'Pearl' 'Harbor']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Base navale de Pearl Harbor']
['Kraï' 'de' 'Krasnoïarsk']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Kraï de Krasnoïarsk']
['Il' 'est' 'remplacé' 'par' 'Stefan' 'Löfven' '.']	[0 0 0 0 1 2 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Stefan Löfven']
"[""'"" ""''"" 'Rafael' 'Nadal' 'Feliciano' 'López' 'David' 'Ferrer' 'Fernando'
 'Verdasco']"	[0 0 1 2 1 2 1 2 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"['PER: Rafael Nadal' 'PER: Feliciano López' 'PER: David Ferrer'
 'PER: Fernando Verdasco']"
['Take' 'a' 'Chance' 'on' 'Me']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Take a Chance on Me']
"['Selon' 'Agence' 'France-Presse' ',' 'les' 'combats' 'ont' 'fait' 'au'
 'moins' '600' 'morts' '.']"	[0 3 4 0 0 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Agence France-Presse']
['Ayia' 'Napa' ',' 'Chypre']	[5 6 0 5]	['fr' 'fr' 'fr' 'fr']	['LOC: Ayia Napa' 'LOC: Chypre']
['Ramsund' '(' ')' ';']	[5 0 0 0]	['fr' 'fr' 'fr' 'fr']	['LOC: Ramsund']
['Fred' 'Astaire' ',' 'Joan' 'Fontaine' ',' 'Montagu' 'Love']	[1 2 0 1 2 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Fred Astaire' 'PER: Joan Fontaine' 'PER: Montagu Love']
"[""'"" ""''"" 'Standard' 'de' 'Liège' ""''"" ""'""]"	[0 0 3 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Standard de Liège']
"['Elle' 'est' 'née' 'le' 'à' 'Paris' 'dans' 'le' 'arrondissement' 'et'
 'morte' 'le' 'à' 'Paris' 'dans' 'le' 'arrondissement' '.']"	[0 0 0 0 0 5 0 0 5 0 0 0 0 5 0 0 5 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr']"	['LOC: Paris' 'LOC: arrondissement' 'LOC: Paris' 'LOC: arrondissement']
['Pino' '489' 'Hab' '.']	[5 0 0 0]	['fr' 'fr' 'fr' 'fr']	['LOC: Pino']
"['Il' 'apprend' 'à' 'Mostar' ',' 'Livno' ',' 'Bijeljina' 'et' 'Sarajevo'
 '.']"	[0 0 0 5 0 5 0 5 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Mostar' 'LOC: Livno' 'LOC: Bijeljina' 'LOC: Sarajevo']
"[""'"" ""''"" 'Union' 'Bordeaux' 'Bègles' ""''"" ""'""]"	[0 0 3 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Union Bordeaux Bègles']
['»' '(' 'Attribution' 'fréquente' 'et' 'douteuse' 'à' 'Cicéron' '.']	[0 0 0 0 0 0 0 1 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Cicéron']
"[""'"" ""''"" 'Aprilia' ""''"" ""'""]"	[0 0 3 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Aprilia']
"[""'"" ""''"" 'Fouesnant' ""''"" ""'""]"	[0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Fouesnant']
['Francisco' 'Galdós' '(' 'ESP' ')']	[1 2 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Francisco Galdós' 'LOC: ESP']
['Mont' 'Gerbier' 'de' 'Jonc']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Mont Gerbier de Jonc']
"[""'"" ""''"" 'Jean-François' 'Copé' ""''"" ""'*""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Jean-François Copé']
['Abbaye' 'de' 'Westminster' '(' 'Londres' ')']	[3 4 4 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Abbaye de Westminster' 'LOC: Londres']
['Deursen' 'en' 'Dennenburg' '>' 'Ravenstein']	[5 6 6 0 5]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Deursen en Dennenburg' 'LOC: Ravenstein']
['Tyrone' 'Power' ',' 'Linda' 'Darnell' ',' 'Dean' 'Jagger']	[1 2 0 1 2 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Tyrone Power' 'PER: Linda Darnell' 'PER: Dean Jagger']
['1867' '—' 'Brown' 'Chamberlin' ',' 'Conservateur']	[3 0 1 2 0 1]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: 1867' 'PER: Brown Chamberlin' 'PER: Conservateur']
['Cuiabá' 'Esporte' 'Clube']	[3 4 4]	['fr' 'fr' 'fr']	['ORG: Cuiabá Esporte Clube']
['Liste' 'des' 'communes' 'de' 'la' 'Loire-Atlantique']	[5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes de la Loire-Atlantique']
['Transport' 'ferroviaire' 'en' 'Chine']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Transport ferroviaire en Chine']
['REDIRECTION' 'Les' 'Noces' '(' 'Fortuny' ')']	[0 3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Les Noces ( Fortuny )']
['Charles' 'II' 'de' 'Nevers-Mantoue']	[1 2 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: Charles II de Nevers-Mantoue']
['Conférence' 'des' 'évêques' 'de' 'France']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Conférence des évêques de France']
['REDIRECTION' 'Ozymandias' '(' 'comics' ')']	[0 1 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Ozymandias ( comics )']
['Johann' 'de' 'Kalb']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Johann de Kalb']
"['Marie' 'Laforêt' 'reprend' ""''La"" 'Tendresse' ""''"" '.']"	[1 2 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Marie Laforêt']
"[""'"" ""''"" 'Carlos' 'Valderrama' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Carlos Valderrama']
"['Private' 'Practice' ""''"" '(' 'saison' '6' ')']"	[3 4 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Private Practice']
['Elle' 'se' 'trouve' 'au' 'Großer' 'Tiergarten' '.']	[0 0 0 0 3 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Großer Tiergarten']
['Parque' 'de' 'Atracciones' 'de' 'Madrid']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Parque de Atracciones de Madrid']
"[""'"" ""''"" 'Philippe' 'Marchand' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Philippe Marchand']
"[""'"" ""''"" 'Enea' 'Bastianini' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Enea Bastianini']
"[""L'archevêque"" 'est' 'né' 'à' 'Cicero' '(' 'Illinois' ')' 'aux'
 'États-Unis' '.']"	[0 0 0 0 5 6 6 6 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Cicero ( Illinois )' 'LOC: États-Unis']
['REDIRECTION' 'Ordre' 'suprême' 'de' 'la' 'Très' 'Sainte' 'Annonciade']	[0 3 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Ordre suprême de la Très Sainte Annonciade']
['Club' 'Deportivo' 'El' 'Nacional']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Club Deportivo El Nacional']
['Steven' 'Gerrard' ',' 'Dirk' 'Kuyt']	[1 2 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Steven Gerrard' 'PER: Dirk Kuyt']
['Tobías' 'Lasser' '(' '1911-2006' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Tobías Lasser']
"['Son' 'fils' 'Michel' 'Chamillart' 'fait' 'une' 'carrière'
 'ministérielle' 'et' 'a' 'une' 'descendance' 'illustre' '.']"	[0 0 1 2 0 0 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Michel Chamillart']
['James' 'Stewart' ',' 'Jane' 'Wyman']	[1 2 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: James Stewart' 'PER: Jane Wyman']
['REDIRECTION' 'Compagnies' 'républicaines' 'de' 'sécurité' 'en' 'France']	[0 3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Compagnies républicaines de sécurité en France']
['Parc' 'national' 'de' 'Saadani']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Parc national de Saadani']
"['7' 'Geno' 'Smith' ""''""]"	[0 1 2 0]	['fr' 'fr' 'fr' 'fr']	['PER: Geno Smith']
['===' 'Orange' '-' 'Nouvelle-Galles' 'du' 'Sud' '===']	[0 5 0 5 6 6 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Orange' 'LOC: Nouvelle-Galles du Sud']
